CL_NUM,CL_AGUA
6476,0.0
6274,0.0
5783,0.0
5052,0.0
6325,0.0
6481,0.0
6484,0.0
5090,0.0
6485,0.0
6488,0.0
5742,0.0
6482,0.0
6491,0.0
6128,0.0
6286,0.0
6499,0.0
5925,0.0
6498,0.0
5905,0.0
6502,0.0
5958,0.0
6504,0.0
951,0.0
5152,0.0
6505,0.0
6483,0.0
5108,0.0
6374,0.0
1093,0.0
6332,0.0
5759,0.0
6510,0.0
6525,0.0
5389,0.0
5841,0.0
5619,0.0
6508,0.0
6283,0.0
698,0.0
5949,0.0
6291,0.0
6506,0.0
6537,0.0
5317,0.0
6541,0.0
6162,0.0
6327,0.0
6053,0.0
1081,0.0
6544,0.0
5948,0.0
6550,0.0
6549,0.0
151,0.0
6551,0.0
5921,0.0
11,0.0
6044,0.0
6559,0.0
6560,0.0
6071,0.0
6563,0.0
5557,0.0
574,0.0
939,0.0
6350,0.0
6569,0.0
6546,0.0
6570,0.0
6571,0.0
6572,0.0
6573,0.0
6574,0.0
6577,0.0
6580,0.0
6589,0.0
6590,0.0
6591,0.0
6588,0.0
6592,0.0
6496,0.0
6596,0.0
6597,0.0
6598,0.0
6307,0.0
841,0.0
6603,0.0
6602,0.0
6607,0.0
6608,0.0
6609,0.0
6610,0.0
6613,0.0
6616,0.0
5821,0.0
5216,0.0
6587,0.0
6081,0.0
6624,0.0
6625,0.0
6626,0.0
5631,0.0
6634,0.0
6635,0.0
6630,0.0
6636,0.0
6637,0.0
6638,0.0
6639,0.0
6644,0.0
6645,0.0
6643,0.0
6641,0.0
6642,0.0
6647,0.0
6649,0.0
6650,0.0
6652,0.0
5085,0.0
6657,0.0
6661,0.0
6660,0.0
6136,0.0
5106,0.0
6439,0.0
5675,0.0
6663,0.0
6664,0.0
6665,0.0
6667,0.0
759,0.0
6674,0.0
1036,0.0
6677,0.0
43,0.0
6520,0.0
6682,0.0
6684,0.0
530,0.0
6183,0.0
6153,0.0
5377,0.0
5534,0.0
26,0.0
6376,0.0
6555,0.0
6694,0.0
6695,0.0
824,0.0
531,0.0
6696,0.0
6699,0.0
5425,0.0
1166,0.0
6706,0.0
5255,0.0
6034,0.0
50,0.0
6720,0.0
6711,0.0
5712,0.0
5637,0.0
5803,0.0
6556,0.0
6536,0.0
5343,0.0
6015,0.0
6378,0.0
6666,0.0
5743,0.0
6735,0.0
5942,0.0
6719,0.0
6737,0.0
6578,0.0
6739,0.0
6367,0.0
6404,0.0
6743,0.0
6753,0.0
6760,0.0
5271,0.0
5539,0.0
336,0.0
947,0.0
6784,0.0
5609,0.0
6787,0.0
5545,0.0
6748,0.0
6783,0.0
495,0.0
6792,0.0
726,0.0
1015,0.0
6796,0.0
6802,0.0
5457,0.0
6807,0.0
6808,0.0
5992,0.0
6811,0.0
6494,0.0
5696,0.0
6804,0.0
6798,0.0
6813,0.0
608,0.0
6814,0.0
6818,0.0
6093,0.0
5734,0.0
819,0.0
6827,0.0
5055,0.0
5575,0.0
6835,0.0
1132,0.0
6736,0.0
90,0.0
6839,0.0
6840,0.0
5704,0.0
6838,0.0
5064,0.0
6718,0.0
5601,0.0
6800,0.0
5692,0.0
6791,0.0
5815,0.0
5270,0.0
6841,0.0
6821,0.0
5247,0.0
6842,0.0
6843,0.0
6844,0.0
6575,0.0
6836,0.0
6845,0.0
6532,0.0
6072,0.0
6343,0.0
1165,0.0
6700,0.0
6846,0.0
6806,0.0
430,0.0
480,0.0
6655,0.0
5007,0.0
145,0.0
6847,0.0
6474,0.0
6687,0.0
6073,0.0
6461,0.0
6102,0.0
6304,0.0
6848,0.0
6849,0.0
6850,0.0
297,0.0
5780,0.0
6851,0.0
5816,0.0
644,0.0
6709,0.0
807,0.0
922,0.0
6050,0.0
538,0.0
6852,0.0
6766,0.0
6110,0.0
6853,0.0
6326,0.0
5738,0.0
6125,0.0
6854,0.0
6855,0.0
6594,0.0
959,0.0
5184,0.0
6056,0.0
1078,0.0
6856,0.0
6295,0.0
6480,0.0
6006,0.0
6116,0.0
6857,0.0
5689,0.0
6858,0.0
621,0.0
5887,0.0
6859,0.0
6862,0.0
6593,0.0
1014,0.0
6863,0.0
6433,0.0
6860,0.0
6864,0.0
640,0.0
6106,0.0
5996,0.0
6865,0.0
936,0.0
6866,0.0
5754,0.0
5660,0.0
5031,0.0
5069,0.0
6867,0.0
5769,0.0
6868,0.0
6621,0.0
6870,0.0
5149,0.0
309,0.0
6871,0.0
6872,0.0
6722,0.0
6579,0.0
6873,0.0
6715,0.0
6874,0.0
6816,0.0
6875,0.0
6876,0.0
6877,0.0
6731,0.0
6777,0.0
6068,0.0
6111,0.0
6628,0.0
6878,0.0
6879,0.0
6880,0.0
5041,0.0
6881,0.0
6882,0.0
6790,0.0
6765,0.0
6869,0.0
6470,0.0
6883,0.0
6884,0.0
6197,0.0
6885,0.0
6886,0.0
5559,0.0
6887,0.0
6681,0.0
776,0.0
933,0.0
5713,0.0
6163,0.0
6888,0.0
6889,0.0
1092,0.0
6890,0.0
6891,0.0
1157,0.0
6892,0.0
5406,0.0
6893,0.0
6314,0.0
6894,0.0
6895,0.0
6897,0.0
6898,0.0
1096,0.0
6069,0.0
5236,0.0
5401,0.0
6166,0.0
6903,0.0
766,0.0
6902,0.0
6741,0.0
6904,0.0
6901,0.0
6831,0.0
1035,0.0
6585,0.0
6905,0.0
6285,0.0
5808,0.0
6908,0.0
6909,0.0
5585,0.0
6360,0.0
6756,0.0
6906,0.0
6740,0.0
6910,0.0
6911,0.0
6912,0.0
6913,0.0
6914,0.0
6915,0.0
6896,0.0
6916,0.0
39,0.0
6917,0.0
6919,0.0
645,0.0
6920,0.0
6921,0.0
6029,0.0
6923,0.0
6924,0.0
1068,0.0
113,0.0
6925,0.0
6926,0.0
5792,0.0
5355,0.0
6918,0.0
6927,0.0
6095,0.0
6675,0.0
1162,0.0
6929,0.0
6429,0.0
6930,0.0
6931,0.0
329,0.0
5666,0.0
6933,0.0
6357,0.0
6934,0.0
6935,0.0
497,0.0
6932,0.0
6936,0.0
