CL_NUM,PC_COD,PC_POR,PC_MON,PC_KEY
119,1,0.0,3500.0,000011901
121,1,0.0,3500.0,000012101
123,1,0.0,49.99,000012301
124,1,2.5,3500.0,000012401
126,1,0.0,3500.0,000012601
127,1,6.0,49.99,000012701
129,1,0.0,3500.0,000012901
132,1,6.0,49.99,000013201
133,1,0.0,3500.0,000013301
134,1,0.0,49.99,000013401
135,1,0.0,3500.0,000013501
138,1,0.0,3500.0,000013801
139,1,2.5,3500.0,000013901
140,1,1.1,3500.0,000014001
141,1,0.8,3500.0,000014101
142,1,6.0,3500.0,000014201
145,1,0.0,3500.0,000014501
146,1,6.0,3500.0,000014601
147,1,1.5,3500.0,000014701
148,1,0.0,49.99,000014801
149,1,0.0,3500.0,000014901
151,1,6.0,3500.0,000015101
152,1,0.0,3500.0,000015201
153,1,0.0,3500.0,000015301
155,1,0.0,49.99,000015501
156,1,1.6,3500.0,000015601
157,1,1.5,3500.0,000015701
158,1,0.0,3500.0,000015801
160,1,0.0,3500.0,000016001
161,1,0.0,3500.0,000016101
163,1,6.0,3500.0,000016301
164,1,0.0,3500.0,000016401
165,1,1.2,3500.0,000016501
166,1,5.0,3500.0,000016601
168,1,2.5,3500.0,000016801
170,1,0.0,3500.0,000017001
171,1,0.0,3500.0,000017101
172,1,0.0,3500.0,000017201
173,1,1.5,3500.0,000017301
174,1,6.0,3500.0,000017401
175,1,0.2,3500.0,000017501
177,1,0.0,3500.0,000017701
178,1,0.0,3500.0,000017801
179,1,0.0,3500.0,000017901
180,1,6.0,3500.0,000018001
181,1,0.0,3500.0,000018101
182,1,1.6,3500.0,000018201
183,1,0.0,3500.0,000018301
184,1,0.0,3500.0,000018401
185,1,0.0,3500.0,000018501
186,1,0.7,3500.0,000018601
187,1,0.0,3500.0,000018701
190,1,6.0,3500.0,000019001
191,1,0.0,49.99,000019101
192,1,1.6,3500.0,000019201
193,1,6.0,3500.0,000019301
194,1,0.0,3500.0,000019401
196,1,0.0,3500.0,000019601
198,1,0.0,3500.0,000019801
199,1,0.0,49.99,000019901
200,1,5.0,3500.0,000020001
201,1,0.1,3500.0,000020101
202,1,0.0,3500.0,000020201
203,1,0.0,3500.0,000020301
204,1,0.0,3500.0,000020401
206,1,0.0,3500.0,000020601
207,1,0.0,3500.0,000020701
208,1,1.6,3500.0,000020801
209,1,0.0,3500.0,000020901
210,1,2.0,3500.0,000021001
211,1,0.0,49.99,000021101
215,1,0.0,49.99,000021501
216,1,0.0,3500.0,000021601
217,1,0.0,3500.0,000021701
219,1,0.5,3500.0,000021901
221,1,1.0,3500.0,000022101
222,1,0.0,3500.0,000022201
223,1,0.0,3500.0,000022301
224,1,0.0,3500.0,000022401
226,1,0.0,3500.0,000022601
227,1,2.5,3500.0,000022701
228,1,0.7,3500.0,000022801
229,1,0.4,3500.0,000022901
230,1,0.0,3500.0,000023001
231,1,0.0,3500.0,000023101
232,1,1.6,3500.0,000023201
233,1,0.0,3500.0,000023301
234,1,0.0,3500.0,000023401
235,1,0.0,3500.0,000023501
236,1,1.5,3500.0,000023601
238,1,1.5,3500.0,000023801
239,1,0.0,49.99,000023901
240,1,0.0,3500.0,000024001
241,1,0.0,3500.0,000024101
242,1,0.0,3500.0,000024201
243,1,0.0,3500.0,000024301
244,1,0.0,3500.0,000024401
245,1,1.6,3500.0,000024501
247,1,0.0,49.99,000024701
249,1,0.0,3500.0,000024901
250,1,0.0,3500.0,000025001
252,1,1.6,3500.0,000025201
253,1,0.0,3500.0,000025301
255,1,0.0,3500.0,000025501
256,1,6.0,3500.0,000025601
257,1,1.5,3500.0,000025701
258,1,0.0,3500.0,000025801
259,1,6.0,3500.0,000025901
260,1,0.0,3500.0,000026001
261,1,0.0,3500.0,000026101
262,1,0.8,3500.0,000026201
263,1,0.0,3500.0,000026301
264,1,0.0,3500.0,000026401
265,1,0.0,3500.0,000026501
266,1,0.0,3500.0,000026601
267,1,0.0,3500.0,000026701
268,1,1.5,3500.0,000026801
269,1,0.0,3500.0,000026901
270,1,0.0,49.99,000027001
271,1,0.0,3500.0,000027101
272,1,0.0,3500.0,000027201
273,1,0.0,3500.0,000027301
274,1,1.6,3500.0,000027401
276,1,0.0,49.99,000027601
277,1,0.0,3500.0,000027701
