PR_NUM,RT_COD,RT_POR,RT_MON,RT_KEY,RT_ACU,RT_IVA
586,50,0.0,19000.0,000058650,0,0
587,50,2.0,19000.0,000058750,0,0
588,50,0.0,19000.0,000058850,0,0
589,50,1.3,19000.0,000058950,0,0
590,50,5.0,19000.0,000059050,0,0
591,50,5.0,19000.0,000059150,0,0
592,50,0.0,399.99,000059250,0,0
594,50,2.5,19000.0,000059450,0,0
595,50,0.0,399.99,000059550,0,0
597,50,2.5,19000.0,000059750,0,0
601,50,0.0,19000.0,000060150,0,0
608,50,0.7,19000.0,000060850,0,0
609,50,0.0,19000.0,000060950,0,0
610,50,1.75,19000.0,000061050,0,0
612,50,0.0,19000.0,000061250,0,0
614,50,0.0,19000.0,000061450,0,0
615,50,1.1,19000.0,000061550,0,0
616,50,1.75,19000.0,000061650,0,0
617,50,0.0,19000.0,000061750,0,0
618,50,0.0,19000.0,000061850,0,0
619,50,1.75,19000.0,000061950,0,0
620,50,0.0,19000.0,000062050,0,0
621,50,1.0,19000.0,000062150,0,0
622,50,2.5,19000.0,000062250,0,0
624,50,0.0,19000.0,000062450,0,0
625,50,0.0,19000.0,000062550,0,0
626,50,0.9,19000.0,000062650,0,0
627,50,1.2,19000.0,000062750,0,0
628,50,0.8,19000.0,000062850,0,0
631,50,5.0,19000.0,000063150,0,0
633,50,0.9,19000.0,000063350,0,0
634,50,1.2,19000.0,000063450,0,0
635,50,2.5,19000.0,000063550,0,0
636,50,1.2,19000.0,000063650,0,0
638,50,0.0,19000.0,000063850,0,0
639,50,0.0,19000.0,000063950,0,0
640,50,0.0,19000.0,000064050,0,0
573,50,0.7,19000.0,000057350,0,0
643,50,0.0,399.99,000064350,0,0
644,50,0.0,399.99,000064450,0,0
645,50,0.9,19000.0,000064550,0,0
647,50,0.0,19000.0,000064750,0,0
648,50,0.0,19000.0,000064850,0,0
649,50,1.75,19000.0,000064950,0,0
144,50,0.0,19000.0,000014450,0,0
147,50,1.75,19000.0,000014750,0,0
650,50,0.7,19000.0,000065050,0,0
651,50,0.9,19000.0,000065150,0,0
652,50,0.0,19000.0,000065250,0,0
653,50,0.9,19000.0,000065350,0,0
654,50,0.7,19000.0,000065450,0,0
632,50,0.0,399.99,000063250,0,0
